source,family,reference,question_type,items,accuracy,accuracy_stderr,brier,log_loss,ece,latency_ms_p50,latency_ms_p95,cost_usd_per_1k
majority-floor,fix-localization,gold-patch,choice,19,0.0,0.0,0.8571,1.9459,0.1429,,,
majority-floor,patch-outcome,verifier,choice,611,0.6268,0.0196,0.5217,0.8961,0.0689,,,
majority-floor,patch-regression,verifier,noul,611,0.9411,0.0095,0.0632,0.2626,0.0881,,,
majority-floor,patch-verdict,verifier,noul,611,0.6268,0.0196,0.2376,0.6682,0.0607,,,
majority-floor,quality-preference,llm-panel,choice,311,0.5788,0.028,0.5,0.6931,0.0788,,,
majority-floor,OVERALL (ground truth only),verifier+gold-patch,mixed,1852,0.7241,0.0104,0.2802,0.6227,0.0733,,,
jev-1.13.0,fix-localization,gold-patch,choice,19,1.0,0.0,0.0,0.0,0.0,266.5,350.1,0.0391
jev-1.13.0,patch-outcome,verifier,choice,611,0.4975,0.0202,0.6495,1.0805,0.1857,305.7,477.3,0.1483
jev-1.13.0,patch-regression,verifier,noul,611,0.3339,0.0191,0.2845,0.7639,0.2677,311.4,432.2,0.1471
jev-1.13.0,patch-verdict,verifier,noul,611,0.3732,0.0196,0.3827,1.0093,0.4089,333.3,448.8,0.1471
jev-1.13.0,quality-preference,llm-panel,choice,311,0.8971,0.0172,0.1617,0.2814,0.0815,362.9,521.6,0.2991
jev-1.13.0,OVERALL (ground truth only),verifier+gold-patch,mixed,1852,0.4077,0.0114,0.4344,0.9414,0.2782,319.8,448.4,0.1464
